Smiles,Adduct,CCS
N(Cc1cccc2c1cccc2)Cc1ccc2c(c1)OCCO2,[M+H]+,176.42
N(Cc1ccc2c(c1)OCCO2)CCc1c[nH]c2c1cccc2,[M+H]+,174.82
COc1ccc(cc1COC(=O)c1ccc(s1)C(=O)C)OC,[M+H]+,176.73
Clc1cccc(c1COC(=O)c1nn(C)c(=O)c2c1cccc2)Cl,[M+H]+,183.17
O=C(c1c(F)cccc1F)Sc1nnc(n1c1ccccc1)c1ccco1,[M+H]+,178.85
COCc1c(oc2c1cccc2)C(=O)OCc1csc(n1)CC(=O)Nc1ccccc1C,[M+H]+,206.55
O=C(Nc1ccccc1C)Cc1scc(n1)COC(=O)c1ccccc1,[M+H]+,193.16
O=C(Nc1ccc(cc1)C)Cc1scc(n1)COC(=O)c1c(F)cccc1Cl,[M+H]+,201.36
CC(=O)Nc1scc(n1)COC(=O)c1cccc(c1O)C,[M+H]+,173.23
CC(=O)Nc1scc(n1)COC(=O)c1ccc(cc1)C,[M+H]+,169.75
O=C(Cn1cnc2c1c(=O)n(C)c(=O)n2C)OCc1c(F)cccc1Cl,[M+H]+,189.8
O=C(c1ccc(cc1)OCc1c(C)noc1C)OCc1c(F)cccc1Cl,[M+H]+,204.25
N#Cc1ccccc1COC(=O)c1sccc1C,[M+H]+,156.04
OCc1ccc(cc1)C(=O)OCc1ccccc1C#N,[M+H]+,164.21
OC(=O)/C=C/c1ccccc1Br,[M+H]+,143.28
COc1cc(/C=C/C(=O)O)cc(c1)OC,[M+H]+,147.55
OC(=O)/C=C/c1sc2c(c1Cl)cccc2,[M+H]+,153.25
CCCCOc1ccc(cc1OCC)/C=C/C(=O)O,[M+H]+,173.41
CCn1c2ccc(cc2c2c1cccc2)/C=C/C(=O)O,[M+H]+,164.19
CCOc1ccccc1C(Nc1cc(ccc1N1CCCC1)S(=O)(=O)N1CCOCC1)O,[M+H]+,205.14
CC(=O)N1CCC(CC1)(C(=O)OCc1ccccc1F)c1ccccc1,[M+H]+,183.98
O=C(Cn1cnc2c1c(=O)n(C)c(=O)n2C)OCc1ccccc1F,[M+H]+,182.66
O=C(c1cccc(c1)N1CCCS1(=O)=O)OCc1ccccc1F,[M+H]+,187.14
c1ccc(cc1)n1nc(c(c1)CNCc1ccc2c(c1)OCO2)c1cccs1,[M+H]+,198.59
CN(Cc1nnc(o1)c1ccccc1)Cc1ccc2c(c1)OCO2,[M+H]+,179.82
CN(Cc1nnc(o1)c1c(C)onc1c1ccccc1)Cc1ccc2c(c1)OCO2,[M+H]+,198.32
c1ccc(cc1)c1nn(cc1CNCc1ccc2c(c1)OCO2)c1ccccc1,[M+H]+,198.45
COCCNCCOc1ccccc1,[M+H]+,149.77
COc1ccccc1COC(=O)c1cncn1c1ccc(cc1)F,[M+H]+,174.46
Cc1scc(n1)COC(=O)c1ccc2c(c1)nc1n(c2=O)CCCCC1,[M+H]+,197.07
Cc1ccccc1COC(=O)C1CCCCN1S(=O)(=O)c1ccccc1,[M+H]+,188.1
O=C(c1c(Cl)nc2n1ccs2)OCc1ccccc1C,[M+H]+,169.53
O=C(c1ccccc1NCc1ccco1)OCc1coc(n1)c1ccccc1,[M+H]+,183.83
CN(C(=O)c1ccccc1C(=O)OCc1coc(n1)c1ccccc1)c1ccccc1,[M+H]+,197
O=C(c1cc(ccc1Cl)S(=O)(=O)N1CCCCC1)OCc1csc(n1)c1ccccc1,[M+H]+,217.46
O=C(c1cccc(c1)OCc1c(C)noc1C)OCc1csc(n1)c1ccccc1,[M+H]+,189.61
O=C(c1cccc(c1)S(=O)(=O)NCc1ccco1)OCc1csc(n1)c1ccccc1,[M+H]+,208.77
O=C(c1ccc(c(c1)S(=O)(=O)N1CCOCC1)F)OCc1csc(n1)c1ccccc1,[M+H]+,212.59
O=C(c1ccc(c(c1)S(=O)(=O)N1CCOCC1)C)OCc1csc(n1)c1ccccc1,[M+H]+,214.93
COc1ccc(cc1C(=O)OCc1csc(n1)c1ccccc1)S(=O)(=O)N1CCCCCC1,[M+H]+,220.05
O=C([C@@H]1CCCN1S(=O)(=O)c1ccccc1F)NCc1cccs1,[M+H]+,179.92
O=C([C@@H]1CCCN1S(=O)(=O)c1ccccc1F)Nc1ccc(c(c1)S(=O)(=O)N1CCOCC1)C,[M+H]+,204.82
CCc1nnc(s1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1c(C)noc1C,[M+H]+,187.34
CCSc1nnc(s1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1c(C)noc1C,[M+H]+,196.61
O=C([C@@H]1CCCN1S(=O)(=O)c1ccc(cc1)Cl)Nc1ccccc1I,[M+H]+,192.37
Clc1ccc(cc1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1ccc(cc1C)F,[M+H]+,189.54
CCN1CCN(CC1)c1ccc(cc1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc(cc1)Cl,[M+H]+,229.08
Clc1ccc(cc1)S(=O)(=O)N1CCC[C@H]1C(=O)N(c1ccccc1)C,[M+H]+,183.38
O=C([C@@H]1CCCN1S(=O)(=O)c1ccc(cc1)C)Nc1nccs1,[M+H]+,181.49
O=C([C@@H]1CCCN1S(=O)(=O)c1ccc(cc1)C)Nc1ccc(cc1)N1CCOCC1,[M+H]+,213.45
OC(=O)[C@@H]1CCCN1C(=O)c1ccco1,[M+H]+,140.39
O=C([C@@H]1CCCN1C(=O)c1cccs1)NCc1cccnc1n1cncn1,[M+H]+,184.31
C[C@H](N1C(=O)C2C(C1=O)CCCC2)C(=O)NC1CCC(CC1)C,[M+H]+,182.5
O=C([C@@H](N1C(=O)c2c(C1=O)cccc2)Cc1ccccc1)NCc1ccc(cc1)F,[M+H]+,194.02
COc1ccc(cc1)CN(C(=O)[C@@H](N1C(=O)c2c(C1=O)cccc2)Cc1ccccc1)C,[M+H]+,199.08
CC(=O)Nc1ccc(cc1)S(=O)(=O)N[C@H](C(=O)NC1CCCc2c1cccc2)C,[M+H]+,207.51
O=C([C@@H](NS(=O)(=O)c1ccc(cc1)Cl)Cc1c[nH]c2c1cccc2)NC1CCCC1,[M+H]+,205.8
COc1ccc2c(c1)ccc(c2)[C@@H](C(=O)NC1CCN(CC1)CC(=O)Nc1ccccc1)C,[M+H]+,223.47
CC([C@@H](C(=O)NC1CCCc2c1cccc2)NC(=O)c1ccco1)C,[M+H]+,185.01
OC(=O)[C@@H](NC(=O)c1ccc(cc1Cl)Cl)Cc1ccccc1,[M+H]+,169.38
CC([C@@H](C(=O)Nc1nccs1)NC(=O)c1ccccc1Br)C,[M+H]+,178.16
CCSc1nnc(s1)NC(=O)[C@H](C(C)C)NC(=O)c1ccccc1Br,[M+H]+,195.91
CC([C@@H](C(=O)NC1CCCCC1)NC(=O)c1ccccc1Br)C,[M+H]+,184.63
CCCCCNC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)c1ccccc1Cl,[M+H]+,199.75
CCC(NC(=O)[C@@H](NC(=O)c1ccccc1Cl)C)CC,[M+H]+,172.29
O=C(Nc1c(C)cccc1C)CNC(=O)[C@@H](NC(=O)c1ccccc1Cl)C,[M+H]+,189.19
CC([C@@H](C(=O)NC1CCCCCC1)NC(=O)c1ccccc1Cl)C,[M+H]+,188.09
COc1cc(OC)cc(c1)C(=O)N[C@H](C(=O)O)C(C)C,[M+H]+,168.93
COc1cc(OC)cc(c1)C(=O)N[C@H](C(=O)Nc1scc(n1)C)C(C)C,[M+H]+,197.98
CCOc1ccc(cc1)C(=O)N[C@H](C(=O)Nc1ccccc1C)C(C)C,[M+H]+,193.91
CCOc1ccc(cc1)C(=O)N[C@H](C(=O)Nc1ccccc1)C(C)C,[M+H]+,182.42
CCOc1ccc(cc1)C(=O)N[C@H](C(=O)Nc1ccccc1OC)C(C)C,[M+H]+,209.7
CCOc1ccc(cc1)C(=O)N[C@H](C(=O)Nc1ccc(cc1)OC)C(C)C,[M+H]+,200.22
CCCCCNC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)c1ccc(cc1)F,[M+H]+,196.85
COc1ccc(cc1)C(=O)N[C@H](C(=O)Nc1ccc(cc1)N1CCOCC1)C(C)C,[M+H]+,212.24
CC(=O)N[C@H](C(=O)N(Cc1ccccc1N1CCCCC1)C)Cc1c[nH]c2c1cccc2,[M+H]+,201.12
C[C@@H](C(=O)Nc1ccc(cc1)S(=O)(=O)N1CCCC1)NS(=O)(=O)c1ccccc1,[M+H]+,206.55
C#CCNC(=O)[C@@H](NS(=O)(=O)c1cccc(c1)C)Cc1c[nH]c2c1cccc2,[M+H]+,193.92
COc1cc(cc(c1OC)OC)C(=O)N[C@H](C(=O)Nc1nc2c(s1)CCCC2)C(C)C,[M+H]+,219.18
Cc1cccc(c1)C(=O)N[C@H](C(=O)Nc1scc(n1)C)C(C)C,[M+H]+,185.53
O=C([C@@H]1CCCN1S(=O)(=O)c1ccccc1F)Nc1ccc(cc1F)F,[M+H]+,181.25
CCOc1ccc(cc1)C(=O)N[C@H](C(=O)Nc1ccc(cc1F)F)C(C)C,[M+H]+,194.82
CC([C@@H](C(=O)Nc1ccccc1Cc1ccccc1)NC(=O)c1ccccc1Br)C,[M+H]+,198.52
O=C([C@@H]1CCCN1S(=O)(=O)c1ccc(cc1)C)Nc1ccccc1Cl,[M+H]+,184.55
CCOc1ccc(cc1)C(=O)N[C@H](C(=O)Nc1ccc2c(c1)OCO2)C(C)C,[M+H]+,199.9
Cc1ccccc1NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccccc1C(F)(F)F,[M+H]+,187.27
O=C([C@@H]1CCCN1S(=O)(=O)c1ccccc1F)Nc1ccc(c(c1)F)F,[M+H]+,182.54
O=C([C@@H]1CCCN1C1=NS(=O)(=O)c2c1cccc2)Nc1ccc2c(c1)OCCCO2,[M+H]+,203.34
COc1cc(OC)cc(c1)C(=O)N[C@H](C(=O)Nc1cccc(c1)C(=O)C)C(C)C,[M+H]+,202.94
O=C([C@@H]1CCCN1S(=O)(=O)c1ccccc1F)Nc1ccc(c(c1)F)C,[M+H]+,185.02
O=C([C@@H]1CCCN1S(=O)(=O)c1ccc(cc1)C)NC1=NCCS1,[M+H]+,181.21
Cc1ccc(cc1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1ccc(cc1C)F,[M+H]+,186.97
O=C([C@@H](NC(=O)c1cccs1)Cc1ccccc1)Nc1scc(n1)C,[M+H]+,187.54
CCOc1ccccc1C(=O)N[C@H](C(=O)NCC1CCCCC1)C(C)C,[M+H]+,195.09
O=C([C@@H]1CCCN1S(=O)(=O)c1ccccc1C(F)(F)F)NCc1ccco1,[M+H]+,181.46
COc1ccccc1CNC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc(cc1)C,[M+H]+,192.62
COc1cc(CNC(=O)[C@@H](N2C(=O)c3c(C2=O)cccc3)Cc2ccccc2)ccc1OC,[M+H]+,206.79
Clc1ccc(c(c1)Cl)CCNC(=O)[C@@H](NS(=O)(=O)c1cccc(c1)C)Cc1c[nH]c2c1cccc2,[M+H]+,213.98
O=C([C@@H]1CCCN1S(=O)(=O)c1ccc(cc1)C)NCCc1ccc(s1)Br,[M+H]+,194.16
CC([C@H](N1C(=O)c2c(C1=O)cccc2)C(=O)NCC(c1ccccc1)N(C)C)C,[M+H]+,197.89
COc1ccc(cc1NC(=O)[C@@H]1CCCN1C(=O)c1cccs1)S(=O)(=O)N1CCOCC1,[M+H]+,215.49
O=C([C@@H]1CCCN1C(=O)c1cccs1)Nc1ccc(cc1)S(=O)(=O)N1CCOCC1,[M+H]+,214.22
O=C([C@@H]1CCCN1C(=O)c1cccs1)Nc1ccc(c(c1)S(=O)(=O)N1CCOCC1)Cl,[M+H]+,215.79
CCOc1ccc(cc1S(=O)(=O)N1CCOCC1)NC(=O)[C@@H]1CCCN1C(=O)c1cccs1,[M+H]+,215.88
